id,category,user,assistant
1,comics,Is Venom a villain or an anti-hero?,"Venom has been Spider-Man's enemy, rival, anti-hero and uneasy ally depending on the continuity."
2,comics,How would you describe Peter Parker?,Peter Parker is a science-minded New Yorker whose life combines ordinary responsibilities with his work as Spider-Man.
3,comics,What was the budget of Spider-Man: No Way Home?,Spider-Man: No Way Home had a reported production budget of about $200 million.
4,comics,Does Spider-Man work with Daredevil?,Daredevil and Spider-Man are fellow New York heroes who have worked together in many stories.
5,comics,How important is Aunt May to Peter — explain briefly.,Aunt May is Peter's family anchor and one of the people most closely connected to his civilian life.
6,comics,What is Spider-Man: Far From Home about?,Spider-Man: Far From Home follows Peter on a European trip while he faces a new threat involving Mysterio.
7,comics,How does Peter Parker become Spider-Man?,Peter Parker becomes Spider-Man after being bitten by a radioactive or otherwise altered spider depending on the continuity.
8,comics,How much did Across the Spider-Verse make worldwide?,Across the Spider-Verse earned about $690.8 million worldwide.
9,comics,What happens in Spider-Man's first comic appearance?,"Amazing Fantasy #15 introduces Peter Parker, his spider bite, his new abilities, his early attempt to use them for personal gain, and the death of Uncle Ben that establishes his sense of responsibility."
10,comics,Give me a concise explanation of Marvel's Spider-Man: Miles Morales.,Marvel's Spider-Man: Miles Morales is a follow-up game centered on Miles Morales and his life as Spider-Man.
11,comics,What is Peter Parker's relationship with MJ?,"Peter Parker and Mary Jane Watson have one of Spider-Man's most important long-running relationships; they have been friends, romantic partners, and spouses in different continuity states."
12,comics,What is Spider-Man's relationship with Iron Man?,"Peter Parker has a major relationship with Iron Man in the MCU, where Tony Stark becomes a mentor-like figure to Peter."
13,comics,Tell me about the Lizard.,"The Lizard is commonly associated with Dr. Curt Connors, whose scientific work transforms him into a reptilian creature."
14,comics,Give me a concise explanation of Spider-Man (2002) about.,Sam Raimi's Spider-Man (2002) stars Tobey Maguire as Peter Parker and follows his transformation into Spider-Man and conflict with Norman Osborn's Green Goblin.
15,comics,When did Flash Thompson first appear?,Flash Thompson was introduced in Amazing Fantasy #15 as one of Peter Parker's classmates and a source of conflict in Peter's early life.
16,comics,What was the budget of Spider-Man: Homecoming?,Spider-Man: Homecoming had a reported production budget of about $175 million in The Numbers database.
17,comics,When did Aunt May first appear?,Aunt May first appeared alongside Peter Parker and Spider-Man in Amazing Fantasy #15.
18,comics,What is Spider-Man 2 (2004) about?,Spider-Man 2 follows Peter Parker as he struggles with his personal life and responsibilities while facing Doctor Octopus.
19,comics,What is Spider-Sense?,"Spider-Sense is Spider-Man's danger-detection ability, warning him about threats before they fully reach him."
20,comics,What is Spider-Man: Brand New Day?,Spider-Man: Brand New Day is a 2026 live-action film directed by Destin Daniel Cretton and starring Tom Holland; Sony describes Peter as fighting crime full-time in a world that does not remember him.
21,comics,What comic introduced Spider-Man?,"Spider-Man was introduced in Amazing Fantasy #15, the final issue of that series' 1962 run."
22,comics,What year did Liz Allan first appear?,Liz Allan was introduced in Amazing Fantasy #15 as part of Peter Parker's high-school world.
23,comics,Why are Spider-Man and Deadpool often paired?,"Spider-Man and Deadpool are a popular hero pairing in Marvel stories, often contrasting Peter's responsibility with Deadpool's chaotic humor."
24,comics,Who is Black Cat?,"Felicia Hardy, Black Cat, is a recurring Spider-Man ally and romantic interest whose relationship with Peter is complicated."
25,comics,What is Peter Parker's relationship with Harry Osborn?,Peter Parker and Harry Osborn are longtime friends whose relationship is strained by Norman Osborn's Green Goblin identity and Harry's own struggles.
26,comics,What is Marvel's Spider-Man: Miles Morales?,Marvel's Spider-Man: Miles Morales is a follow-up game centered on Miles Morales and his life as Spider-Man.
27,comics,What is the relationship between MJ and Harry?,"Mary Jane and Harry have been friends and romantic partners at different points, but MJ's strongest long-term romantic connection is with Peter."
28,comics,What was the budget of The Amazing Spider-Man 2?,The Amazing Spider-Man 2 (2014) had a reported production budget of about $200 million.
29,comics,Who is Carnage?,"Carnage is a violent symbiote-linked antagonist, most commonly associated with Cletus Kasady."
30,comics,What is The Amazing Spider-Man 2 about?,The Amazing Spider-Man 2 features Peter facing Electro while Harry Osborn returns and the story expands the OsCorp conflict.
31,comics,Tell me about Venom.,"Venom is a symbiote-based character whose relationship to Spider-Man varies between enemy, anti-hero, and uneasy ally depending on the story."
32,comics,How much did Spider-Man 2 make worldwide?,Spider-Man 2 (2004) earned about $797.0 million worldwide according to The Numbers.
33,comics,How does Uncle Ben influence Peter — explain briefly.,Uncle Ben's death and moral example are foundational to Peter's understanding of responsibility.
34,comics,What is Peter Parker's official blood type?,"If the requested continuity/source does not establish a blood type, the correct response is that it is not established rather than guessing."
35,comics,How should the model distinguish confirmed Spider-Man projects from rumors — explain briefly.,"The model should distinguish officially announced projects from rumors, leaks or fan theories."
36,comics,When did Spider-Man first appear?,"Spider-Man first appeared in Amazing Fantasy #15, published in August 1962."
37,comics,What should the Spider-Man AI do when it does not know a fact?,"If a Spider-Man detail is not established by the source or continuity being discussed, the model should say that it is unknown or not established instead of inventing a fact."
38,comics,How much did Spider-Man: Homecoming make worldwide?,Spider-Man: Homecoming earned about $878.9 million worldwide according to The Numbers.
39,comics,What is Spider-Man's relationship with the Avengers?,"Spider-Man has been affiliated with the Avengers at various points in Marvel Comics, connecting him to heroes such as Captain America and Iron Man."
40,comics,Tell me about Rhino.,"Rhino is a physically powerful Spider-Man enemy known for a heavily armored, rhinoceros-like form."
41,comics,Tell me about Hobgoblin.,"Hobgoblin is a villain identity used by multiple characters in Spider-Man stories, most famously involving Roderick Kingsley."
42,comics,Why does Spider-Man have a secret identity?,"Peter Parker traditionally maintains a secret identity to protect himself and people close to him, although some stories change who knows it."
43,comics,Is Spider-Man an Avenger?,"Spider-Man has been associated with the Avengers at various points in Marvel Comics, connecting him to a wider superhero community."
44,comics,When did The Amazing Spider-Man begin?,"The Amazing Spider-Man began with issue #1 in March 1963, following Spider-Man's debut in Amazing Fantasy #15."
45,comics,Give me a concise explanation of Peter Parker's relationship with Gwen Stacy.,"Gwen Stacy is one of Peter Parker's major early romantic relationships, and her death has a lasting effect on Peter in classic comics."
46,comics,Who published Marvel's Spider-Man 2?,Marvel's Spider-Man 2 was published by Sony Interactive Entertainment.
47,comics,What is the Spider-Verse?,The Spider-Verse concept allows multiple Spider-People and alternate realities to coexist.
48,comics,Tell me about Ganke Lee.,Ganke Lee is Miles Morales's close friend and an important ally who helps him protect his secret identity in the comics.
49,comics,Which companies are associated with Brand New Day's production?,"Sony lists Columbia Pictures as a Sony company and Marvel Studios as associated with Spider-Man: Brand New Day; The Numbers lists Marvel Studios, Columbia Pictures, Pascal Pictures and Sony Pictures among production/financing companies."
50,comics,Is Spider-Man only Peter Parker in the comics?,"No. Peter Parker is the primary Spider-Man, but other characters including Miles Morales have carried the Spider-Man identity in different continuities."
51,comics,Give me a concise explanation of Spider-Man 2 (2004) about.,Spider-Man 2 follows Peter Parker as he struggles with his personal life and responsibilities while facing Doctor Octopus.
52,comics,What era did Spider-Man debut in?,Spider-Man debuted during the Silver Age of American comic books in 1962.
53,comics,Who is Mary Jane Watson?,Mary Jane Watson is one of Peter Parker's closest relationships and a major recurring character in Spider-Man stories.
54,comics,When did the Lizard first appear?,"The Lizard, associated with Dr. Curt Connors, first appeared in The Amazing Spider-Man #6 in 1963."
55,comics,Give me a concise explanation of Marvel's Spider-Man 2.,Marvel's Spider-Man 2 is a 2023 PS5 action-adventure game featuring both Peter Parker and Miles Morales.
56,comics,What budget is listed for Spider-Man: Brand New Day?,The Numbers currently lists Spider-Man: Brand New Day with a production budget of about $225 million.
57,comics,Which issue contains Spider-Man's first appearance?,"Spider-Man was introduced in Amazing Fantasy #15, the final issue of that series' 1962 run."
58,comics,What is Peter Parker's officially confirmed favorite food?,There is no single universally established official answer across Spider-Man continuities. The AI should not invent one.
59,comics,Tell me about Kraven the Hunter.,Kraven is a hunter who views Spider-Man as a premier challenge and has repeatedly pursued him.
60,comics,How should a Spider-Man AI handle rumors about future projects — explain briefly.,"Future Spider-Man projects can change release dates, casts, plots and production details; training data should label rumors separately from confirmed information."
61,comics,What is Spider-Man: No Way Home about?,Spider-Man: No Way Home centers on Peter's attempt to solve a multiversal crisis after a spell causes villains from other Spider-Man realities to enter his world.
62,comics,Give me a concise explanation of the relationship between MJ and Harry.,"Mary Jane and Harry have been friends and romantic partners at different points, but MJ's strongest long-term romantic connection is with Peter."
63,comics,Who wrote Spider-Man: Brand New Day?,Spider-Man: Brand New Day is written by Chris McKenna and Erik Sommers.
64,comics,Why does Kraven hunt Spider-Man?,Kraven the Hunter views Spider-Man as an exceptional quarry and repeatedly seeks to prove his superiority by hunting him.
