id,category,topic,source,source_type,knowledge_cutoff,user,assistant
140,actors,Tom Holland,https://www.sonypictures.com/movies/spidermanbrandnewday,researched_summary,28-08-2026,Who plays Spider-Man in the MCU films?,Tom Holland plays Peter Parker/Spider-Man in the MCU Spider-Man films and in Brand New Day.
114,movies,Brand New Day director,https://www.sonypictures.com/movies/spidermanbrandnewday,researched_summary,28-08-2026,Who directed Spider-Man: Brand New Day?,Spider-Man: Brand New Day is directed by Destin Daniel Cretton.
17,characters,Aunt May,https://www.marvel.com/characters/spider-man-peter-parker/in-comics,researched_summary,28-08-2026,Who is Aunt May?,Aunt May is Peter Parker's aunt and one of the central family figures in his life.
76,relationships,Peter and MJ,https://www.marvel.com/characters/mary-jane-watson,researched_summary,28-08-2026,What is Peter Parker's relationship with MJ?,"Peter Parker and Mary Jane Watson have one of Spider-Man's most important long-running relationships; they have been friends, romantic partners, and spouses in different continuity states."
155,games,Marvel's Spider-Man 2,https://www.playstation.com/en-in/games/marvels-spider-man-2/,researched_summary,28-08-2026,Give me a concise explanation of Marvel's Spider-Man 2.,Marvel's Spider-Man 2 is a 2023 PS5 action-adventure game featuring both Peter Parker and Miles Morales.
186,future,future uncertainty,https://www.sonypictures.com/movies/spidermanbrandnewday,researched_summary,28-08-2026,How should a Spider-Man AI handle rumors about future projects — explain briefly.,"Future Spider-Man projects can change release dates, casts, plots and production details; training data should label rumors separately from confirmed information."
70,allies,Black Cat,https://www.marvel.com/characters/spider-man-peter-parker/in-comics,researched_summary,28-08-2026,Tell me about Black Cat.,"Felicia Hardy, Black Cat, is a recurring Spider-Man ally and romantic interest whose relationship with Peter is complicated."
56,villains,Kingpin,https://www.marvel.com/characters/spider-man-peter-parker/in-comics,researched_summary,28-08-2026,Who is Kingpin?,"Kingpin, Wilson Fisk, is a major crime boss who has repeatedly conflicted with Spider-Man and other Marvel heroes."
19,characters,Uncle Ben,https://www.marvel.com/characters/spider-man-peter-parker/in-comics,researched_summary,28-08-2026,Why is Uncle Ben important to Spider-Man?,Uncle Ben is Peter Parker's uncle and a foundational influence on Peter's moral responsibility as Spider-Man.
170,story,origin,https://www.marvel.com/characters/spider-man-peter-parker/in-comics,researched_summary,28-08-2026,How does Peter Parker become Spider-Man?,Peter Parker becomes Spider-Man after being bitten by a radioactive or otherwise altered spider depending on the continuity.
157,games,Spider-Man 2 publisher,https://www.playstation.com/en-in/games/marvels-spider-man-2/,researched_summary,28-08-2026,Who published Marvel's Spider-Man 2?,Marvel's Spider-Man 2 was published by Sony Interactive Entertainment.
16,characters,Ned Leeds,https://www.marvel.com/characters/spider-man-peter-parker/in-comics,researched_summary,28-08-2026,Tell me about Ned Leeds.,Ned Leeds is a Spider-Man-associated character whose identity and characterization vary substantially between comics and film adaptations.
162,crossovers,Spider-Man and Avengers,https://www.marvel.com/characters/spider-man-peter-parker/in-comics,researched_summary,28-08-2026,What is Spider-Man's relationship with the Avengers?,"Spider-Man has been affiliated with the Avengers at various points in Marvel Comics, connecting him to heroes such as Captain America and Iron Man."
61,allies,Human Torch,https://www.marvel.com/characters/spider-man-peter-parker/in-comics,researched_summary,28-08-2026,Tell me about Spider-Man's friendship with Human Torch like.,"Johnny Storm, the Human Torch, is one of Spider-Man's closest superhero friends and frequent friendly rivals."
116,movies,Brand New Day cast,https://www.sonypictures.com/movies/spidermanbrandnewday,researched_summary,28-08-2026,Who is in the cast of Spider-Man: Brand New Day?,"The announced cast includes Tom Holland, Zendaya, Sadie Sink, Jacob Batalon, Jon Bernthal, Tramell Tillman, Michael Mando and Mark Ruffalo."
