kind,question,reference,base,tuned,grade,refused
test,Who played Spider-Man in the original Raimi trilogy?,Tobey Maguire played Peter Parker/Spider-Man in Sam Raimi's Spider-Man trilogy.,"In the original ""Spider-Man"" film trilogy (2002-2007), the lead role was played by Tobey Maguire. He portrayed Peter Parker/Spider-Man from 2002's ""Spider-Man,"" 2005's ""The Amazing Spider-Man,"" and 2007's ""The Amazing Spider-Man II.""",Tom Holland plays Peter Parker/Spider-Man in the Sony film series.,,
test,Give me a concise explanation of Spider-Man's relationship with Iron Man.,"Peter Parker has a major relationship with Iron Man in the MCU, where Tony Stark becomes a mentor-like figure to Peter.","Spider-Man is often depicted as an ally or rival to Tony Stark (Iron Man) in the Marvel universe. They share some common enemies but have had contrasting interactions. Tony Stark frequently helps Peter Parker/Spider-Man by using his technology and resources against criminal threats, while Peter sometimes tries to help Tony with personal issues like Stark Industries' financial troubles. This dynamic has led to both camaraderie and occasional conflict between them throughout their long history in comic books and movies.",Iron Man is one of Peter Parker's most important allies and rivals in Marvel continuity.,,
test,What is Spider-Man's relationship with Iron Man?,"Peter Parker has a major relationship with Iron Man in the MCU, where Tony Stark becomes a mentor-like figure to Peter.","Spider-Man has had several interactions with Iron Man throughout the Marvel Cinematic Universe (MCU). Initially, they were enemies in ""Iron Man 2"" where Spidey tried to stop Tony Stark from using his suit to save the world but failed due to the latter's interference. This event caused some tension between them.

In later MCU films like ""Avengers: Age of Ultron,"" ""Captain America: The Winter Soldier,"" and ""Avengers: Infinity War,"" there was an attempt at reconciliation as both heroes worked together on missions involving their respective suits or technologies.

However, their relationship remained",Iron Man and Peter Parker share overlapping roles in superhero storylines but have different personalities and often compete for attention from fans.,,
test,Where did Peter Parker go to school?,Peter Parker attends Midtown High School in his early comic appearances and later studies at Empire State University.,Peter Parker went to Columbia University as his high school education.,Peter Parker attended St. Rita's High School for Science and Technology in New York City as depicted in the early years of his career.,,
test,Who is Spider-Man Noir?,"Spider-Man Noir is a version of Peter Parker from an alternate reality set in a Depression-era 1930s New York, with a darker, pulp-inspired tone.","Spider-Man Noir is a limited series by writer Brian Michael Bendis and artist Frank Quitely. It was released from January to April 2017. The story takes place in the universe established in ""The Dark Avenger"" arc of Marvel's Ultimate Spider-Man (Volume 3). The book follows Spider-Man as he fights against crime bosses like Victor Von Doom and Magneto, while also dealing with his personal struggles and relationships.",Spider-Man Noir was an alternate 1940s continuity version of Peter Parker who has many similarities to the Silver Age character but in a more noir setting; he is often associated with his early 20th-century persona Max Dillon.,,
test,What year did Miles Morales first appear?,"Miles Morales first appeared in Ultimate Fallout #4 in 2011, initially in Marvel's Ultimate Universe.","Miles Morales first appeared in ""Amazing Spider-Man"" #621, which was released on February 7, 2011. This issue marked the debut of the Black Panther as the alternate reality hero Spider-Tagetin.",Miles Morales debuted in Amazing Fantasy #15 in 1962.,,
test,When did Miles Morales first appear?,"Miles Morales first appeared in Ultimate Fallout #4 in 2011, initially in Marvel's Ultimate Universe.","Miles Morales first appeared in ""The Amazing Spider-Verse"" comic series, published by Marvel Comics, which was released in 2016. The character was created to be the lead hero in this crossover series where characters from different Spider-Verse universes interact with each other.",Miles Morales was introduced in Amazing Fantasy #15 as the New York City teenager who becomes Spider-Man.,,
test,When did the Scorpion first appear?,"The Scorpion, Mac Gargan, first appeared in The Amazing Spider-Man #20 in 1965.","The Scorpion was introduced in Marvel Comics' ""Secret Invasion"" storyline, published from 2008 to 2009. In this story, the Scorpion is created by Loki as part of his plan to invade Earth with the Skrulls. The character makes his debut in the ""Uncanny X-Men #564-565"" (October 2009).",The Scorpion was introduced in The Amazing Spider-Man #28 in 1965.,,
test,What year did Electro first appear?,"Electro, associated with Max Dillon, first appeared in The Amazing Spider-Man #9 in 1964.","Electro first appeared in ""Amazing Fantasy #15"" in 1962.",Electro was introduced in The Amazing Spider-Man #14 in 1963.,,
test,When did Electro first appear?,"Electro, associated with Max Dillon, first appeared in The Amazing Spider-Man #9 in 1964.","Electro first appeared in ""Amazing Fantasy #15"" in 1962. He was created by Stan Lee and Jack Kirby as one of the villains in the Fantastic Four series.",Electro has appeared in various Marvel Comics stories since the 1940s.,,
