split,id,category,topic,source_type,origin_file,variant_of,variant_type,system,instruction,output,knowledge_text,messages,text
train,3,actors,Jon Bernthal,researched_summary,Spider.csv,3,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Who is Jon Bernthal playing in Brand New Day?,Jon Bernthal is listed in the cast of Spider-Man: Brand New Day as Frank Castle/Punisher in the film's announced cast.,Jon Bernthal is listed in the cast of Spider-Man: Brand New Day as Frank Castle/Punisher in the film's announced cast.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Who is Jon Bernthal playing in Brand New Day?""}, {""role"": ""assistant"", ""content"": ""Jon Bernthal is listed in the cast of Spider-Man: Brand New Day as Frank Castle/Punisher in the film's announced cast.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Who is Jon Bernthal playing in Brand New Day?<|im_end|>
<|im_start|>assistant
Jon Bernthal is listed in the cast of Spider-Man: Brand New Day as Frank Castle/Punisher in the film's announced cast.<|im_end|>"
train,5,actors,Tom Holland,researched_summary,Spider.csv,5,original,"You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.",Who plays Spider-Man in the MCU films?,Tom Holland plays Peter Parker/Spider-Man in the MCU Spider-Man films and in Brand New Day.,Tom Holland plays Peter Parker/Spider-Man in the MCU Spider-Man films and in Brand New Day.,"[{""role"": ""system"", ""content"": ""You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.""}, {""role"": ""user"", ""content"": ""Who plays Spider-Man in the MCU films?""}, {""role"": ""assistant"", ""content"": ""Tom Holland plays Peter Parker/Spider-Man in the MCU Spider-Man films and in Brand New Day.""}]","<|im_start|>system
You are a knowledgeable assistant that answers questions about Spider-Man across comics, films, games and television. Answer accurately and concisely. If you are not sure, say so instead of guessing.<|im_end|>
<|im_start|>user
Who plays Spider-Man in the MCU films?<|im_end|>
